Zeit (ms),Druck (hPa),Höhe (m),Temperatur (C),GX,GY,GZ
6438,1023.63,0.00,24.60,0.50,-1.31,8.38
6466,1023.79,-1.32,24.59,6.16,-4.00,8.19
6495,1023.83,-1.65,24.60,5.06,-3.16,8.34
6522,1023.83,-1.65,24.60,-4.28,1.00,8.38
6551,1023.79,-1.32,24.59,0.53,-1.22,8.28
6579,1023.83,-1.65,24.60,0.47,-1.25,8.44
6606,1023.83,-1.65,24.60,0.50,-1.00,8.22
6634,1023.63,0.00,24.60,0.28,-0.50,8.47
6663,1023.83,-1.65,24.60,0.56,-0.88,8.75
6690,1023.60,0.25,24.59,0.88,-2.06,8.28
6718,1023.79,-1.32,24.59,0.41,-1.22,8.41
6749,1023.63,0.00,24.60,0.41,-1.16,8.34
6776,1023.60,0.25,24.59,0.44,-1.12,8.31
6804,1023.63,0.00,24.60,0.41,-1.09,8.31
6833,1023.60,0.25,24.59,0.37,-1.09,8.38
6860,1023.63,0.00,24.60,0.41,-1.06,8.28
6888,1023.83,-1.65,24.60,0.44,-1.06,8.41
6916,1023.79,-1.32,24.59,0.34,-1.22,8.50
6944,1023.83,-1.65,24.60,0.37,-1.25,8.41
6972,1023.83,-1.65,24.60,0.12,-1.09,8.19
7000,1023.83,-1.65,24.60,0.16,-1.09,8.22
7027,1023.83,-1.65,24.60,0.44,-1.06,8.22
7056,1023.83,-1.65,24.60,0.56,-1.28,8.41
7084,1023.79,-1.32,24.59,0.34,-1.28,8.31
7114,1023.79,-1.32,24.59,0.50,-1.47,8.81
7142,1023.79,-1.32,24.59,0.37,-1.44,8.16
7170,1023.60,0.25,24.59,0.59,-1.25,8.41
7198,1023.83,-1.65,24.60,0.28,-1.25,8.03
7226,1023.83,-1.65,24.60,0.56,-1.41,8.53
7254,1023.63,0.00,24.60,0.44,-1.37,8.41
7281,1023.79,-1.32,24.59,0.19,-1.50,8.22
7309,1023.63,0.00,24.60,0.19,-1.81,8.22
7337,1023.63,0.00,24.60,0.19,-1.78,8.34
7365,1023.63,0.00,24.60,0.09,-1.50,8.00
7393,1023.83,-1.65,24.60,0.22,-1.91,8.47
7420,1023.83,-1.65,24.60,0.09,-2.00,8.84
7451,1023.63,0.00,24.60,0.00,-1.91,8.13
7479,1023.63,0.00,24.60,0.25,-1.94,8.72
7507,1023.63,0.00,24.60,0.12,-1.75,8.63
7535,1023.83,-1.65,24.60,0.50,-1.72,8.88
7563,1023.63,0.00,24.60,0.25,-1.69,8.25
7590,1023.83,-1.65,24.60,0.50,-2.09,8.28
7618,1023.83,-1.65,24.60,0.44,-2.09,8.06
7647,1023.63,0.00,24.60,0.66,-2.03,8.34
7674,1023.83,-1.65,24.60,0.69,-1.91,8.50
7702,1023.79,-1.32,24.59,0.84,-1.88,8.53
7730,1023.63,0.00,24.60,1.00,-1.78,8.75
7758,1023.83,-1.65,24.60,1.19,-1.78,8.84
7789,1023.83,-1.65,24.60,1.19,-1.72,8.59
7817,1023.83,-1.65,24.60,1.03,-1.41,9.81
7844,1023.83,-1.65,24.60,1.66,-2.00,8.38
7872,1023.83,-1.65,24.60,1.94,-2.00,8.13
7901,1023.83,-1.65,24.60,2.22,-1.81,8.38
7928,1023.83,-1.65,24.60,2.41,-1.91,7.84
7956,1023.63,0.00,24.60,2.50,-2.44,7.66
7984,1023.83,-1.65,24.60,2.91,-2.69,8.25
8012,1023.83,-1.65,24.60,2.53,-2.38,7.44
8040,1023.83,-1.65,24.60,2.53,-2.47,7.28
8068,1023.83,-1.65,24.60,2.50,-2.84,8.16
8095,1023.83,-1.65,24.60,2.50,-3.19,8.13
8124,1023.83,-1.65,24.60,2.63,-2.94,7.78
8155,1023.83,-1.65,24.60,2.53,-2.81,7.59
8182,1023.83,-1.65,24.60,2.72,-2.94,7.47
8210,1023.83,-1.65,24.60,3.03,-3.19,7.66
8238,1023.83,-1.65,24.60,2.91,-2.66,7.38
8266,1024.03,-3.30,24.60,3.13,-2.66,6.97
8294,1023.83,-1.65,24.60,3.38,-2.94,6.72
8322,1023.83,-1.65,24.60,3.44,-3.13,6.88
8349,1023.63,0.00,24.60,3.91,-3.47,6.94
8378,1023.79,-1.32,24.59,3.91,-3.03,6.69
8406,1023.83,-1.65,24.60,4.06,-2.63,6.50
8433,1023.83,-1.65,24.60,4.00,-2.72,6.06
8461,1023.83,-1.65,24.60,4.34,-2.88,6.22
8492,1023.83,-1.65,24.60,3.50,-3.38,5.88
8520,1024.03,-3.30,24.60,4.22,-3.94,5.38
8548,1023.83,-1.65,24.60,4.09,-3.34,6.22
8576,1023.83,-1.65,24.60,4.13,-3.44,6.38
8603,1023.63,0.00,24.60,3.84,-3.91,6.13
8631,1023.79,-1.32,24.59,4.00,-5.03,7.00
8659,1023.79,-1.32,24.59,3.88,-5.22,6.22
8687,1023.79,-1.32,24.59,3.72,-5.09,5.50
8715,1023.83,-1.65,24.60,3.59,-5.22,5.03
8742,1023.83,-1.65,24.60,3.69,-5.16,5.78
8771,1023.79,-1.32,24.59,3.31,-4.88,4.56
8799,1023.79,-1.32,24.59,3.44,-4.53,5.44
8829,1023.79,-1.32,24.59,3.63,-4.56,7.09
8857,1023.79,-1.32,24.59,3.34,-5.00,6.34
8885,1023.79,-1.32,24.59,3.31,-5.56,5.28
8913,1024.03,-3.30,24.60,3.25,-4.97,5.31
8941,1023.79,-1.32,24.59,3.72,-4.91,6.47
8969,1023.79,-1.32,24.59,3.53,-5.34,7.63
8996,1023.79,-1.32,24.59,3.41,-5.28,6.31
9025,1023.79,-1.32,24.59,3.06,-5.88,4.63
9053,1023.79,-1.32,24.59,3.41,-5.75,5.22
9080,1023.79,-1.32,24.59,3.63,-4.78,6.63
9109,1023.79,-1.32,24.59,3.22,-4.09,5.66
9137,1023.79,-1.32,24.59,3.13,-4.59,4.56
9175,1023.79,-1.32,24.59,3.69,-4.84,4.97
9202,1023.99,-2.97,24.59,3.81,-3.19,5.41
9231,1023.99,-2.97,24.59,3.66,-2.31,5.28
9259,1023.79,-1.32,24.59,4.00,-2.03,5.38
9286,1023.79,-1.32,24.59,4.22,-2.84,6.06
9315,1023.79,-1.32,24.59,4.16,-2.63,5.50
9342,1023.79,-1.32,24.59,4.03,-2.00,4.88
9370,1023.79,-1.32,24.59,4.28,-1.59,4.88
9398,1023.79,-1.32,24.59,4.19,-1.50,6.06
9426,1023.79,-1.32,24.59,4.16,-1.94,6.16
9454,1023.79,-1.32,24.59,4.09,-1.63,5.72
9482,1023.60,0.25,24.59,4.03,-1.34,5.47
9512,1023.79,-1.32,24.59,4.22,-1.56,6.56
9540,1023.79,-1.32,24.59,4.22,-1.09,7.44
9569,1023.79,-1.32,24.59,4.09,-0.66,8.22
9596,1023.99,-2.97,24.59,4.31,0.12,8.03
9624,1023.79,-1.32,24.59,4.59,-0.31,8.66
9652,1023.79,-1.32,24.59,4.66,-0.75,8.84
9680,1023.79,-1.32,24.59,4.50,-0.37,8.03
9708,1023.99,-2.97,24.59,4.69,0.31,8.28
9736,1023.79,-1.32,24.59,4.84,0.63,8.75
9763,1023.76,-1.07,24.57,4.81,0.25,9.38
9791,1023.99,-2.97,24.59,5.00,0.59,9.66
9820,1023.79,-1.32,24.59,5.06,0.75,9.53
9847,1023.79,-1.32,24.59,5.16,0.63,9.47
9878,1023.79,-1.32,24.59,4.97,0.37,8.59
9906,1023.79,-1.32,24.59,5.16,0.06,8.94
9933,1023.79,-1.32,24.59,5.00,0.22,9.03
9961,1023.79,-1.32,24.59,4.94,0.94,7.91
9990,1023.79,-1.32,24.59,4.47,0.75,7.59
10017,1023.60,0.25,24.59,4.47,0.91,8.00
10045,1023.79,-1.32,24.59,4.53,0.84,8.81
10073,1023.79,-1.32,24.59,4.09,-0.56,7.78
10101,1023.79,-1.32,24.59,3.88,-1.22,6.56
